iter	MultiClass
0	1.843661391
1	1.755001541
2	1.685215899
3	1.61977728
4	1.56402935
5	1.511692388
6	1.467252904
7	1.427329519
8	1.389741859
9	1.357264404
10	1.326438551
11	1.297275026
12	1.27033569
13	1.244958035
14	1.22325915
15	1.202270154
16	1.183486627
17	1.165097704
18	1.14948543
19	1.133745924
20	1.118141032
21	1.104040338
22	1.09060736
23	1.078616318
24	1.067605378
25	1.056125582
26	1.045673169
27	1.035471722
28	1.02599035
29	1.017204642
30	1.009094122
31	1.001077726
32	0.993525994
33	0.9862296516
34	0.9791274023
35	0.9727658144
36	0.9662839947
37	0.9603691634
38	0.9550596508
39	0.9502563431
40	0.9450781146
41	0.9401393045
42	0.9357451535
43	0.9316820127
44	0.9272629503
45	0.923455059
46	0.9199557291
47	0.9168012408
48	0.912645325
49	0.909000776
50	0.9054101996
51	0.9020492769
52	0.8987725623
53	0.8959320146
54	0.8935292373
55	0.8912972923
56	0.88895296
57	0.8864601973
58	0.8841029453
59	0.8818032264
60	0.8790526056
61	0.8772043564
62	0.8753521179
63	0.8737353349
64	0.8719188412
65	0.8703671689
66	0.8689056157
67	0.8676277664
68	0.8658107921
69	0.8642950378
70	0.8627673193
71	0.8612739748
72	0.8599909757
73	0.8586732522
74	0.8572555711
75	0.8558581091
76	0.8548384245
77	0.853773231
78	0.8521155364
79	0.8514452514
80	0.8506537918
81	0.8496902961
82	0.8482245417
83	0.8473965327
84	0.8458910507
85	0.844725537
86	0.8436832306
87	0.8421023175
88	0.8407933337
89	0.8392960863
90	0.8384796637
91	0.8372149143
92	0.8367249452
93	0.8353242341
94	0.8346029628
95	0.8337341092
96	0.8329708601
97	0.8321680745
98	0.8312109667
99	0.8302346079
100	0.8291010827
101	0.8286459187
102	0.8280779757
103	0.8274452215
104	0.826970221
105	0.8265337742
106	0.825689179
107	0.8249664061
108	0.8242828835
109	0.8237213786
110	0.8226568981
111	0.8220757918
112	0.8216238284
113	0.8210220883
114	0.8201559232
115	0.8196069524
116	0.8190984869
117	0.8186139704
118	0.8182280393
119	0.817694256
120	0.8170458837
121	0.8164219266
122	0.8159868164
123	0.815693987
124	0.8151042852
125	0.8144873783
126	0.8142444741
127	0.8140052381
128	0.813493152
129	0.8129900499
130	0.8121600579
131	0.8114142202
132	0.8109243523
133	0.8105679203
134	0.8099567553
135	0.8094810319
136	0.8088920473
137	0.8079962304
138	0.8076267578
139	0.8073060714
140	0.8068789592
141	0.8066279167
142	0.8058537253
143	0.8053332589
144	0.8050065907
145	0.8044877748
146	0.8038575129
147	0.8031951012
148	0.8026666433
149	0.8021537092
150	0.8017643586
151	0.8015238265
152	0.8008270859
153	0.8001810006
154	0.7998084226
155	0.7994038649
156	0.7991539038
157	0.7985973993
158	0.7978994089
159	0.7973059065
160	0.79697048
161	0.7966513352
162	0.7963812272
163	0.7962266888
164	0.7956684338
165	0.7951620766
166	0.7948005594
167	0.7945420665
168	0.7941564123
169	0.7935414614
170	0.7931995725
171	0.7929590264
172	0.7924913941
173	0.7922839066
174	0.7918405133
175	0.791359673
176	0.7907371819
177	0.7903538886
178	0.7900563212
179	0.7897633347
180	0.7894386414
181	0.7889733484
182	0.7885922638
183	0.788073312
184	0.7875834414
185	0.787311766
186	0.7870104789
187	0.7864096265
188	0.7859936731
189	0.785313259
190	0.7849195396
191	0.7846873889
192	0.7842106189
193	0.7837387498
194	0.7835036147
195	0.7833514838
196	0.7825936173
197	0.7820480253
198	0.7816237434
199	0.7813763329
200	0.7811148628
201	0.7805702442
202	0.7798961804
203	0.7795544174
204	0.779157935
205	0.7785110971
206	0.7780667337
207	0.7775790163
208	0.7771507553
209	0.7768751304
210	0.7765174573
211	0.776145129
212	0.775837827
213	0.7756452931
214	0.7751122518
215	0.7747946233
216	0.7745597228
217	0.7741940552
218	0.7738235406
219	0.7732674655
220	0.7729107533
221	0.7726363336
222	0.7721782717
223	0.7717996211
224	0.7714539359
225	0.7711658769
226	0.7705237583
227	0.7700575698
228	0.7696295862
229	0.7691433443
230	0.7687726656
231	0.7684513876
232	0.7679120256
233	0.7674545618
234	0.7672202365
235	0.7665568859
236	0.7661155837
237	0.7655087625
238	0.7651876151
239	0.7648749379
240	0.7644764783
241	0.7641189154
242	0.7638022264
243	0.7631604261
244	0.7628914086
245	0.7622775531
246	0.7614359977
247	0.7610795042
248	0.7607249212
249	0.760289093
250	0.7597287318
251	0.7593773111
252	0.7591060357
253	0.7588557116
254	0.7583076708
255	0.7580944967
256	0.7577403193
257	0.7570826435
258	0.7564785812
259	0.7561731422
260	0.7556298576
261	0.7552679576
262	0.7550007627
263	0.7547353345
264	0.7544042009
265	0.7540197469
266	0.7534822379
267	0.7531216869
268	0.7527565585
269	0.7524673515
270	0.7519284875
271	0.7516181879
272	0.7511305445
273	0.7507448925
274	0.7504990287
275	0.7502174222
276	0.7497534639
277	0.7491467409
278	0.7488067964
279	0.7483667686
280	0.7481545426
281	0.7476395714
282	0.7474286585
283	0.7472043308
284	0.7469143795
285	0.7467407878
286	0.7462146755
287	0.7459750624
288	0.7457019898
289	0.7454108985
290	0.745222245
291	0.7451112711
292	0.7448864914
293	0.7443223659
294	0.7441389151
295	0.7438626021
296	0.7435137101
297	0.7429452322
298	0.7427128902
299	0.7423374644
300	0.7421175978
301	0.7413740883
302	0.7405412767
303	0.7403964837
304	0.7401957329
305	0.7399893872
306	0.7396978431
307	0.7392404566
308	0.7390061844
309	0.7387754396
310	0.7382264118
311	0.7378085067
312	0.737497315
313	0.7372990228
314	0.7370197303
315	0.7368048453
316	0.7365144899
317	0.7363067781
318	0.7360535336
319	0.7357705377
320	0.7355752392
321	0.7352784968
322	0.7351353587
323	0.734838649
324	0.7343678153
325	0.7338662564
326	0.7335441036
327	0.7330532694
328	0.7325840719
329	0.7320748146
330	0.7318397809
331	0.7315796843
332	0.7312676059
333	0.7310917093
334	0.7306896198
335	0.7302323087
336	0.7298517112
337	0.7295648399
338	0.7294370865
339	0.7291376274
340	0.7286823995
341	0.7285082334
342	0.7282260287
343	0.7279488244
344	0.7275485996
345	0.7272298275
346	0.7268352071
347	0.7264606893
348	0.7258575339
349	0.7256640305
350	0.7253541184
351	0.7252171971
352	0.724828163
353	0.7246782772
354	0.7243292306
355	0.7240793945
356	0.7235957777
357	0.7234796808
358	0.723188366
359	0.7228058081
360	0.722508087
361	0.7221536791
362	0.7219247726
363	0.7216449505
364	0.7212599447
365	0.7208594783
366	0.7206973914
367	0.7203872342
368	0.7199825154
369	0.719877664
370	0.7194949803
371	0.7190844273
372	0.7185793945
373	0.71816755
374	0.7179553125
375	0.7177701042
376	0.7175680082
377	0.7173797889
378	0.7170839477
379	0.7168524075
380	0.7166049186
381	0.7164006521
382	0.716174675
383	0.716026577
384	0.7156171416
385	0.7152877711
386	0.7151040309
387	0.714742663
388	0.7145408399
389	0.71436781
390	0.7140302782
391	0.7138319897
392	0.7135449707
393	0.7132354346
394	0.7128702638
395	0.7126308445
396	0.7123854219
397	0.7117984907
398	0.7114906067
399	0.7111164426
400	0.7105891274
401	0.7102682829
402	0.7098692644
403	0.7094385885
404	0.7092020907
405	0.7088781722
406	0.7085440914
407	0.7080356971
408	0.7077792025
409	0.7073123887
410	0.7070344839
411	0.7068323809
412	0.7066127848
413	0.7064250137
414	0.7060921398
415	0.7056631064
416	0.7055404829
417	0.7054501815
418	0.7048561461
419	0.7045467342
420	0.7043124121
421	0.7040907687
422	0.7036489239
423	0.7034717099
424	0.7032807846
425	0.7029302456
426	0.7026490872
427	0.7023463381
428	0.7021643551
429	0.7019717136
430	0.7015367417
431	0.7013622337
432	0.7010354292
433	0.7007707564
434	0.7005389472
435	0.7002574872
436	0.7001384875
437	0.6997863695
438	0.6996194293
439	0.6992641288
440	0.6990417707
441	0.6985392548
442	0.6981562968
443	0.6979281997
444	0.6975336192
445	0.6972923206
446	0.6971632842
447	0.6967578755
448	0.6963998058
449	0.6959258677
450	0.6957824289
451	0.6952258362
452	0.6951037729
453	0.6947749214
454	0.6942989121
455	0.6939425769
456	0.693763662
457	0.6932161253
458	0.6929177485
459	0.692713582
460	0.6924455087
461	0.6922743705
462	0.6920052779
463	0.6916997527
464	0.6914300594
465	0.6912910756
466	0.6907969218
467	0.6903383883
468	0.6900508489
469	0.6897985521
470	0.6895181236
471	0.689290531
472	0.689164908
473	0.6887942231
474	0.6884482551
475	0.6881724633
476	0.6878586721
477	0.6876113995
478	0.6874735317
479	0.6872885092
480	0.687085603
481	0.6868964102
482	0.6866759204
483	0.6863992224
484	0.6860053858
485	0.6856958529
486	0.6854961707
487	0.685221275
488	0.68497743
489	0.6847909531
490	0.684439263
491	0.684130992
492	0.6838483137
493	0.6834329445
494	0.6830330918
495	0.6827649555
496	0.6824876628
