iter	Passed	Remaining
0	9	4857
1	18	4716
2	27	4525
3	35	4436
4	43	4351
5	51	4256
6	59	4207
7	68	4192
8	75	4119
9	82	4039
10	90	4001
11	97	3954
12	104	3913
13	111	3887
14	119	3855
15	126	3833
16	133	3804
17	141	3795
18	148	3769
19	156	3748
20	162	3716
21	170	3697
22	177	3679
23	184	3668
24	192	3657
25	199	3641
26	207	3634
27	215	3630
28	223	3627
29	230	3610
30	237	3593
31	244	3581
32	252	3570
33	259	3561
34	267	3548
35	275	3546
36	282	3539
37	290	3533
38	298	3529
39	306	3522
40	313	3512
41	321	3503
42	329	3498
43	336	3491
44	344	3479
45	351	3472
46	359	3464
47	367	3458
48	375	3459
49	383	3453
50	391	3444
51	398	3436
52	406	3428
53	414	3421
54	421	3407
55	428	3397
56	436	3393
57	444	3387
58	451	3376
59	459	3369
60	467	3364
61	474	3353
62	482	3347
63	490	3343
64	498	3337
65	506	3328
66	513	3320
67	520	3306
68	527	3292
69	534	3280
70	540	3267
71	548	3259
72	556	3254
73	563	3243
74	570	3230
75	577	3221
76	584	3210
77	592	3205
78	599	3193
79	605	3179
80	611	3163
81	618	3150
82	625	3140
83	631	3127
84	638	3117
85	645	3106
86	652	3097
87	659	3088
88	666	3078
89	673	3065
90	679	3054
91	686	3044
92	693	3035
93	700	3026
94	707	3016
95	714	3005
96	720	2994
97	727	2985
98	734	2974
99	741	2966
100	748	2956
101	754	2945
102	761	2935
103	768	2924
104	774	2914
105	781	2903
106	787	2893
107	794	2885
108	802	2878
109	809	2868
110	815	2857
111	822	2848
112	828	2837
113	835	2827
114	841	2818
115	848	2808
116	854	2798
117	861	2788
118	867	2777
119	874	2769
120	881	2760
121	888	2752
122	894	2742
123	901	2732
124	908	2724
125	915	2716
126	921	2707
127	928	2697
128	934	2688
129	940	2677
130	947	2667
131	953	2657
132	959	2647
133	966	2638
134	974	2634
135	981	2627
136	988	2620
137	996	2613
138	1002	2604
139	1009	2595
140	1015	2586
141	1022	2577
142	1030	2571
143	1036	2562
144	1042	2553
145	1049	2544
146	1056	2537
147	1064	2531
148	1071	2523
149	1077	2514
150	1084	2506
151	1090	2496
152	1096	2487
153	1103	2480
154	1110	2471
155	1117	2463
156	1125	2457
157	1132	2450
158	1138	2442
159	1145	2434
160	1152	2425
161	1158	2417
162	1165	2410
163	1173	2403
164	1180	2397
165	1188	2391
166	1195	2384
167	1202	2376
168	1210	2369
169	1218	2364
170	1233	2373
171	1241	2366
172	1248	2359
173	1255	2351
174	1262	2343
175	1269	2337
176	1277	2331
177	1297	2346
